"ID Caso","US asociada","Objetivo","Precondición","Datos de entrada","Pasos","Resultado Esperado","Prioridad","Tipo","Ejecutor"
"TC-011","US-02","Deshabilitar un usuario de gestión existente","Usuario de gestión activo en el sistema","Usuario seleccionado para deshabilitar","1. Buscar y seleccionar usuario existente
2. Seleccionar opción Deshabilitar 
3. Confirmar acción","El usuario queda deshabilitado y no puede acceder al sistema; se muestra mensaje de confirmación","Alta","Funcional","Guajardo Lautaro"
"TC-012","US-02","Verificar que cada acción (crear, editar, deshabilitar) muestra un mensaje de confirmación claro","Administrador logueado","Distintas acciones sobre usuarios (crear/editar/deshabilitar)","1. Realizar una acción de creación, edición o deshabilitación 
2. Observar la respuesta del sistema","El sistema muestra un mensaje claro y específico confirmando la acción realizada","Media","Funcional","Guajardo Lautaro"
"TC-013","US-03","Dar de baja correctamente a un integrante","Administrador autenticado. Existe un integrante activo.","Integrante activo","1. Ingresar al módulo de usuarios.
2. Seleccionar un integrante activo.
3. Hacer clic en ""Dar de baja"".
4. Confirmar la acción.","El sistema cambia el estado del integrante a Inactivo.","Media","Unitario","Rodriguez Gonzalo"
"TC-014","US-03","Verificar que un integrante dado de baja no pueda iniciar sesión","Existe un integrante con estado Inactivo.","Usuario y contraseña del integrante inactivo","1. Ir a la pantalla de inicio de sesión.
2. Ingresar las credenciales del integrante dado de baja.
3. Intentar iniciar sesión.","El sistema impide el inicio de sesión e informa que el usuario no puede acceder.","Baja","Unitario","Rodriguez Gonzalo"
"TC-015","US-03","Verificar que un integrante dado de baja no pueda operar en el sistema","El integrante fue dado de baja y posee un token o intenta acceder a funcionalidades protegidas.","Integrante inactivo","1. Intentar acceder a una funcionalidad del sistema con el integrante inactivo.","El sistema bloquea la operación y deniega el acceso a las funcionalidades.","Baja","Funcional","Rodriguez Gonzalo"
"TC-016","US-03","Confirmar la baja con un mensaje claro","Administrador autenticado. Existe un integrante activo.","Integrante activo","1. Dar de baja al integrante.
2. Confirmar la acción.","El sistema muestra un mensaje claro indicando que la baja se realizó correctamente.","Baja","No funcional","Rodriguez Gonzalo"
"TC-017","US-05","Registrar correctamente un participante en una disciplina activa","El delegado está autenticado. La disciplina está activa. No existe una inscripción previa del participante en esa disciplina.","Nombre: Juan Pérez
DNI: 40123456
Disciplina: Fútbol","1. Ingresar al registro de participantes.
2. Completar nombre, DNI y disciplina.
3. Confirmar el registro.","El participante se registra correctamente, queda asociado a la disciplina seleccionada y se generan automáticamente las cuotas correspondientes. Se muestra un mensaje de confirmación.","Alta","Integración","Rodriguez Gonzalo"
"TC-018","US-05","Validar que no se registre un participante con DNI duplicado en la misma disciplina","Existe un participante con el DNI indicado ya inscripto en la disciplina seleccionada.","Nombre: Juan Pérez
DNI: 40123456
Disciplina: Fútbol","1. Ingresar al registro.
2. Completar los datos utilizando un DNI ya registrado en Fútbol.
3. Confirmar.","El sistema rechaza el registro e informa que ya existe un participante con ese DNI en la disciplina. No se crea una nueva inscripción ni se generan cuotas duplicadas.","Alta","Integración","Rodriguez Gonzalo"
"TC-019","US-05","Permitir que un participante se inscriba en múltiples disciplinas","Existe un participante registrado con el DNI indicado en una disciplina diferente. La nueva disciplina está activa.","Nombre: Juan Pérez
DNI: 40123456
Disciplina: Básquet","1. Ingresar al registro.
2. Completar los datos del participante.
3. Seleccionar una disciplina diferente a la que ya tiene asociada.
4. Confirmar.","El sistema permite el registro. El participante queda asociado también a la nueva disciplina y se generan las cuotas correspondientes a ella.","Alta","Integración","Rodriguez Gonzalo"
"TC-020","US-05","Impedir la inscripción en una disciplina inactiva","El delegado está autenticado. La disciplina seleccionada se encuentra inactiva.","Nombre: Juan Pérez
DNI: 40123456
Disciplina: Natación (inactiva)","1. Ingresar al registro.
2. Completar los datos.
3. Seleccionar la disciplina inactiva.
4. Confirmar.","El sistema rechaza la inscripción e informa que la disciplina seleccionada no está activa. No se crea la asociación ni se generan cuotas.","Alta","Integración","Rodriguez Gonzalo"
"TC-021","US-07","Validar la baja lógica de una persona","Existe un registro en personas con activo = true","dni: 30123456","1. Ejecutar acción de baja sobre la persona
2. Consultar el registro en personas","El campo activo pasa a false; el registro sigue existiendo (no hay DELETE)","Alta","Funcional","Colque Condo Luis Alvaro"
"TC-022","US-07","Validar que no se pueda dar de baja una persona ya inactiva","Persona con activo = false","dni: 30123456","1. Intentar ejecutar baja nuevamente","La API rechaza la operación indicando que ya está inactiva","Media","Funcional","Colque Condo Luis Alvaro"
"TC-023","US-07","Validar el registro de auditoría al dar de baja una persona","Módulo de auditoría operativo","dni: 30123456","1. Dar de baja a la persona
2. Consultar registros_auditoria filtrando por entidad ""Persona"" e idEntidad","Se inserta un registro con accion = BAJA, entidad = ""Persona"", idEntidad = id de la persona, responsableId = id del usuario que ejecutó la baja","Alta","No funcional","Colque Condo Luis Alvaro"
"TC-024","US-07","Validar que registros_auditoria no permita UPDATE ni DELETE (RNF03)","Existe al menos un registro de auditoría","ID de un registro existente","1. Intentar ejecutar UPDATE o DELETE directamente sobre registros_auditoria","La operación es rechazada a nivel de servicio/base de datos (tabla append-only)","Alta","No funcional","Colque Condo Luis Alvaro"
"TC-025","US-07","Validar el intento de baja sin permisos suficientes","Usuario autenticado sin rol habilitado","dni: 30123456","1. Intentar dar de baja sin el rol correspondiente","El sistema deniega la acción (403)","Alta","Funcional","Colque Condo Luis Alvaro"
"TC-026","US-12","Registrar un nuevo socio con datos válidos","Administrador autenticado.","Nombre, DNI, correo, teléfono y fecha de nacimiento válidos","1. Ingresar al módulo de socios.
2. Completar el formulario de alta.
3. Guardar.","El socio se registra correctamente en la base de datos y aparece en el listado.","Alta","Unitario","Gerbaudo Mateo"
"TC-027","US-12","Validar que no se pueda registrar un socio con DNI duplicado","Ya existe un socio con DNI 30111222.","DNI: 30111222","1. Completar formulario de alta con DNI existente.
2. Guardar.","El sistema impide el registro e informa que el DNI ya está asociado a un socio.","Alta","Unitario","Gerbaudo Mateo"
"TC-028","US-12","Validar campos obligatorios vacíos","Administrador autenticado en el formulario de alta.","Nombre vacío","1. Dejar el campo nombre vacío.
2. Completar el resto de los datos.
3. Intentar guardar.","El sistema muestra un mensaje de error y no permite guardar hasta completar los campos obligatorios.","Media","Unitario","Gerbaudo Mateo"
"TC-029","US-12","Validar formato de correo electrónico","Administrador autenticado en el formulario de alta.","Correo: 'socio@invalido'","1. Ingresar un correo con formato inválido.
2. Intentar guardar.","El sistema rechaza el valor e informa que el formato de correo no es válido.","Media","Unitario","Gerbaudo Mateo"
"TC-030","US-12","Verificar persistencia del socio en la base de datos (API/DB)","Socio registrado exitosamente vía UI.","Socio recién creado","1. Registrar un socio.
2. Consultar el endpoint de la API (o la base de datos) para verificar el registro.","El registro del socio existe en la base de datos con los datos ingresados.","Alta","Integración","Gerbaudo Mateo"
"TC-031","US-12","Confirmar que el socio quede asociado al rol correspondiente","Administrador autenticado.","Datos válidos de un nuevo socio","1. Registrar un nuevo socio.
2. Verificar el rol asignado.","El nuevo integrante queda registrado con el rol de Socio.","Media","Unitario","Gerbaudo Mateo"
"TC-032","US-12","Confirmar mensaje de éxito tras el registro","Datos válidos completos.","Datos válidos de un nuevo socio","1. Completar el formulario.
2. Guardar.","Se muestra un mensaje de confirmación indicando que el socio fue registrado exitosamente.","Baja","Unitario","Gerbaudo Mateo"
"TC-033","US-13","Editar correctamente los datos de un socio existente","Administrador autenticado. Existe un socio registrado.","Nuevo teléfono y correo válidos","1. Seleccionar un socio existente.
2. Modificar teléfono y correo.
3. Guardar cambios.","Los datos del socio se actualizan correctamente y se reflejan en el listado.","Alta","Unitario","Gerbaudo Mateo"
"TC-034","US-13","Validar que no se pueda editar el DNI hacia uno ya existente en otro socio","Existen dos socios registrados (Socio A y Socio B).","DNI de Socio B asignado a Socio A","1. Editar el DNI del Socio A colocando el DNI del Socio B.
2. Intentar guardar.","El sistema impide el guardado e informa que el DNI ya pertenece a otro socio.","Alta","Unitario","Gerbaudo Mateo"
"TC-035","US-13","Validar campos obligatorios al editar","Administrador autenticado editando un socio.","Nombre vacío","1. Borrar el campo nombre.
2. Intentar guardar los cambios.","El sistema muestra un error y no permite guardar hasta completar el campo obligatorio.","Media","Unitario","Gerbaudo Mateo"
"TC-036","US-13","Cancelar la edición sin guardar cambios","Administrador autenticado editando un socio.","Datos modificados sin confirmar","1. Modificar algún dato del socio.
2. Hacer clic en Cancelar.","El sistema descarta los cambios y los datos originales del socio permanecen intactos.","Baja","Unitario","Gerbaudo Mateo"
"TC-037","US-13","Verificar persistencia de los cambios en la base de datos (API/DB)","Socio editado exitosamente vía UI.","Datos actualizados del socio","1. Editar los datos de un socio.
2. Guardar.
3. Consultar el endpoint de la API (o la base de datos) para verificar la actualización.","Los datos actualizados del socio están reflejados correctamente en la base de datos.","Alta","Integración","Gerbaudo Mateo"
"TC-038","US-13","Confirmar mensaje de éxito tras la edición","Datos válidos completos al editar.","Datos válidos modificados","1. Editar los datos del socio.
2. Guardar cambios.","Se muestra un mensaje de confirmación indicando que los datos se actualizaron correctamente.","Baja","Unitario","Gerbaudo Mateo"
"TC-039","US-14","Validar la baja lógica de un socio","Existe un registro en personas con activo = true","dni: 30123456","1. Ingresar al detalle del socio
2. Click en ""Dar de baja""
3. Confirmar la acción","El campo activo del socio pasa a false; el registro sigue existiendo (no hay DELETE)","Alta","Funcional","Colque Condo Luis Alvaro"
"TC-040","US-14","Validar que no se pueda dar de baja un socio ya inactivo","Persona con activo = false","dni: 30123456","1. Intentar dar de baja nuevamente al mismo socio","El sistema rechaza la operación indicando que el socio ya está inactivo","Media","Funcional","Colque Condo Luis Alvaro"
"TC-041","US-14","Validar el intento de baja sin permisos suficientes","Usuario autenticado sin rol habilitado","dni: 30123456","1. Intentar dar de baja sin el rol correspondiente","El sistema deniega la acción (403)","Alta","Funcional","Colque Condo Luis Alvaro"
"TC-042","US-14","Validar el registro de auditoría al dar de baja un socio (RF12)","Módulo de auditoría operativo","dni: 30123456","1. Dar de baja al socio
2. Consultar registros_auditoria filtrando por entidad ""Persona"" e idEntidad","Se inserta un registro con accion = BAJA, entidad = ""Persona"", idEntidad = id del socio, responsableId = id del usuario que ejecutó la baja, fechaHora = momento de la operación","Alta","No funcional","Colque Condo Luis Alvaro"
"TC-043","US-14","Validar que un socio dado de baja no aparezca en el listado activo","Socio dado de baja (ver TC-014-01)","dni: 30123456","1. Consultar el listado de socios activos","El socio no figura en el listado, pero sigue existiendo en la base","Media","Funcional","Colque Condo Luis Alvaro"
"TC-044","US-15","Buscar un socio por nombre con coincidencia exacta","Secretario logueado, existe un socio llamado ""Juan Pérez""","Nombre = ""Juan Pérez""","1. Abrir módulo de búsqueda de socios
2. Ingresar nombre completo
3. Ejecutar búsqueda","El sistema muestra el socio ""Juan Pérez"" con sus datos básicos (nombre, DNI y categoría)","Alta","Unitario","Guajardo Lautaro"
"TC-045","US-15","Buscar un socio por nombre con coincidencia parcial","Secretario logueado, existe un socio llamado ""Juan Pérez""","Nombre = ""Juan""","1. Abrir módulo de búsqueda de socios
2. Ingresar parte del nombre
3. Ejecutar búsqueda","El sistema muestra todos los socios cuyo nombre contiene ""Juan""","Alta","Unitario","Guajardo Lautaro"
"TC-046","US-15","Filtrar socios por categoría","Secretario logueado, existen socios con categorías ""Activo"" y ""Vitalicio""","Categoría = ""Vitalicio""","1. Abrir módulo de búsqueda de socios
2. Seleccionar filtro de categoría Vitalicio
3. Ejecutar búsqueda","El sistema muestra únicamente los socios con categoría ""Vitalicio""","Alta","Funcional","Guajardo Lautaro"
"TC-047","US-15","Verificar que los resultados muestran los datos básicos requeridos","Secretario logueado, existe al menos un socio registrado","Nombre = ""María López""","1. Abrir módulo de búsqueda de socios
2. Ingresar nombre
3. Ejecutar búsqueda","El sistema muestra el resultado con nombre, DNI y categoría del socio","Media","Funcional","Guajardo Lautaro"
"TC-048","US-15","Verificar el mensaje al no encontrar coincidencias","Secretario logueado","Nombre = ""Nombre Inexistente""","1. Abrir módulo de búsqueda de socios
2. Ingresar un nombre que no existe en el sistema
3. Ejecutar búsqueda","El sistema muestra el mensaje ""No se encontraron resultados""","Alta","Unitario","Guajardo Lautaro"
"TC-049","US-15","Combinar filtro de nombre y categoría en una misma búsqueda","Secretario logueado, existen socios con distintos nombres y categorías","Nombre = ""Juan"", Categoría = ""Activo""","1. Abrir formulario de creación de usuario
2. Completar datos básicos y rol
3. Guardar","El sistema muestra únicamente los socios que cumplen ambos criterios combinados","Alta","Integración","Guajardo Lautaro"
"TC-050","US-15","Verificar que la combinación de filtros sin coincidencias muestra el mensaje correspondiente","Secretario logueado","Nombre = ""Pedro"", Categoría = ""Vitalicio"" (sin socios que cumplan ambas condiciones)","1. Abrir formulario de creación de usuario
2. Completar datos con DNI ya existente
3. Guardar","El sistema muestra el mensaje ""No se encontraron resultados""","Media","Integración","Guajardo Lautaro"
"TC-051","US-20","Configurar correctamente una cuota por disciplina y categoría","Administrador autenticado. Existen disciplinas y categorías cargadas.","Disciplina: Fútbol, Categoría: Sub-15, Monto: $5000","1. Ingresar al módulo de cuotas.
2. Seleccionar disciplina y categoría.
3. Ingresar el monto.
4. Guardar.","El sistema guarda la cuota y la asocia correctamente a la disciplina y categoría seleccionadas.","Alta","Unitario","Gerbaudo Mateo"
"TC-052","US-20","Validar que el monto no pueda ser negativo","Administrador autenticado en el módulo de cuotas.","Monto: -500","1. Seleccionar disciplina y categoría.
2. Ingresar un monto negativo.
3. Intentar guardar.","El sistema rechaza el valor e informa que el monto debe ser positivo.","Alta","Unitario","Gerbaudo Mateo"
"TC-053","US-20","Validar que el monto no pueda quedar vacío","Administrador autenticado en el módulo de cuotas.","Monto: (vacío)","1. Seleccionar disciplina y categoría.
2. Dejar el campo monto vacío.
3. Intentar guardar.","El sistema muestra un mensaje de error y no permite guardar la cuota.","Media","Unitario","Gerbaudo Mateo"
"TC-054","US-20","Actualizar el monto de una cuota ya configurada","Existe una cuota configurada para Fútbol - Sub-15.","Nuevo monto: $6000","1. Ingresar al módulo de cuotas.
2. Seleccionar la cuota existente.
3. Modificar el monto.
4. Guardar cambios.","El sistema actualiza el monto de la cuota correctamente.","Alta","Unitario","Gerbaudo Mateo"
"TC-055","US-20","Impedir cuotas duplicadas para la misma disciplina y categoría","Ya existe una cuota configurada para Fútbol - Sub-15.","Disciplina: Fútbol, Categoría: Sub-15","1. Intentar crear una nueva cuota para la misma disciplina y categoría.
2. Guardar.","El sistema impide la creación duplicada e informa que ya existe una cuota configurada.","Media","Unitario","Gerbaudo Mateo"
"TC-056","US-20","Verificar que solo el administrador pueda configurar cuotas","Usuario autenticado con rol distinto a Administrador.","Usuario con rol Secretario","1. Intentar acceder al módulo de configuración de cuotas.","El sistema deniega el acceso e informa que no posee permisos suficientes.","Alta","Unitario","Gerbaudo Mateo"
"TC-057","US-20","Listar las cuotas configuradas por disciplina y categoría","Existen varias cuotas configuradas.","Cuotas cargadas para Fútbol, Básquet y Vóley","1. Ingresar al módulo de cuotas.
2. Visualizar el listado.","El sistema muestra todas las cuotas agrupadas por disciplina y categoría.","Baja","Unitario","Gerbaudo Mateo"
"TC-058","US-20","Confirmar mensaje de éxito al guardar la configuración","Datos válidos de disciplina, categoría y monto.","Disciplina: Básquet, Categoría: Sub-17, Monto: $4500","1. Completar el formulario de cuota.
2. Guardar.","Se muestra un mensaje de confirmación indicando que la cuota se configuró correctamente.","Baja","Unitario","Gerbaudo Mateo"
"TC-059","US-29","Validar la creación de un evento con datos válidos","Usuario autenticado con rol habilitado","nombre: Torneo de fútbol interno / descripcion: Torneo entre socios / entradasDisponibles: 50","1. POST a /eventos con los datos
2. Confirmar creación","Se crea el registro en eventos con los valores ingresados y creadoEn seteado","Alta","Funcional","Colque Condo Luis Alvaro"
"TC-060","US-29","Validar que entradasDisponibles no acepte valores negativos (RN11)","Usuario autenticado con rol habilitado","entradasDisponibles: -5","1. Enviar creación de evento con entradasDisponibles negativo","La API rechaza la operación (400) y no se crea el registro","Alta","Funcional","Colque Condo Luis Alvaro"
"TC-061","US-29","Validar que nombre sea obligatorio","Usuario autenticado con rol habilitado","nombre: null","1. Enviar creación de evento sin nombre","La API rechaza la operación por violar el constraint NOT NULL de nombre","Media","Funcional","Colque Condo Luis Alvaro"
"TC-062","US-29","Validar el registro de auditoría al crear un evento","Usuario autenticado / Módulo de auditoría operativo","Evento válido (ver TC-029-01)","1. Crear evento
2. Consultar registros_auditoria filtrando por entidad ""Evento""","Se inserta un registro con accion = CREAR, entidad = ""Evento"", idEntidad = id del evento creado, responsableId = id del usuario autenticado","Alta","No funcional","Colque Condo Luis Alvaro"
"TC-063","US-30","Generar una entrada única con identificador","Administrador logueado, evento creado","Cantidad de entradas = 1","1. Abrir módulo de generación de entradas
2. Seleccionar cantidad de entradas
3. Confirmar generación","Se genera una entrada con un identificador único creado por el sistema","Alta","Unitario","Guajardo Lautaro"
"TC-064","US-30","Verificar que cada entrada se registra como único registro en la base de datos","Administrador logueado, evento creado","Cantidad de entradas = 3","1. Abrir módulo de generación de entradas
2. Seleccionar cantidad de entradas
3. Confirmar generación
4. Consultar base de datos","Se crean 3 registros distintos en la base de datos, cada uno con su propio identificador","Alta","Integración","Guajardo Lautaro"
"TC-065","US-30","Validar que el sistema no permite identificadores duplicados","Existe al menos una entrada generada previamente en el sistema","Intento de generación forzando un identificador ya existente","1. Abrir módulo de generación de entradas
2. Forzar/simular generación con un identificador ya utilizado
3. Confirmar generación","El sistema rechaza la operación y no permite crear una entrada con un identificador duplicado","Alta","Unitario","Guajardo Lautaro"
"TC-066","US-30","Verificar que el administrador puede seleccionar la cantidad de entradas a generar","Administrador logueado, evento creado","Cantidad de entradas = 5","1. Abrir módulo de generación de entradas
2. Ingresar cantidad de entradas
3. Confirmar generación","El sistema genera exactamente 5 entradas según lo indicado por el administrador","Media","Unitario","Guajardo Lautaro"
"TC-067","US-30","Verificar que cada entrada tiene un código QR único generado con qrcode.js","Administrador logueado, evento creado","Cantidad de entradas = 2","1. Abrir módulo de generación de entradas
2. Seleccionar cantidad de entradas
3. Confirmar generación
4. Visualizar los QR generados","Se generan 2 códigos QR distintos, cada uno asociado a una entrada diferente","Alta","Funcional","Guajardo Lautaro"
"TC-068","US-30","Validar que el QR contiene un identificador/token seguro","Entrada generada previamente","Entrada con QR generado","1. Escanear o decodificar el QR generado
2. Verificar el contenido del token","El QR contiene un identificador seguro (UUID o hash firmado), no información sensible ni predecible","Alta","Funcional","Guajardo Lautaro"
"TC-069","US-30","Verificar que la compra de varias entradas genera múltiples QRs individuales","Administrador logueado, evento creado","Cantidad de entradas = 4","1. Abrir módulo de generación de entradas
2. Seleccionar cantidad de entradas
3. Confirmar generación
4. Verificar QRs generados","Se generan 4 QRs distintos, uno por cada entrada, y no un único QR compartido para todas","Media","Funcional","Guajardo Lautaro"
"TC-070","US-32","Validar que toda operación de alta se registre en el log de auditoría","Módulo de auditoría operativo","Creación de un socio o evento","1. Ejecutar una operación de alta
2. Consultar registros_auditoria","Se inserta un registro con accion = CREAR, entidad correspondiente, idEntidad, responsableId y fechaHora correctos","Alta","No funcional","Colque Condo Luis Alvaro"
"TC-071","US-32","Validar que toda operación de baja se registre en el log de auditoría","Módulo de auditoría operativo","Baja de un socio","1. Ejecutar una baja
2. Consultar registros_auditoria","Se inserta un registro con accion = BAJA y los datos de la operación","Alta","No funcional","Colque Condo Luis Alvaro"
"TC-072","US-32","Validar que toda operación de edición se registre en el log de auditoría","Módulo de auditoría operativo","Modificación de datos de un socio","1. Editar datos de un socio
2. Consultar registros_auditoria","Se inserta un registro con accion = EDITAR y los datos de la operación","Alta","No funcional","Colque Condo Luis Alvaro"
"TC-073","US-32","Validar que se registren los intentos de login fallido","Usuario existente en el sistema","Email válido / contraseña incorrecta","1. Intentar iniciar sesión con contraseña incorrecta
2. Consultar registros_auditoria","Se inserta un registro con accion = LOGIN_FALLIDO","Media","Funcional","Colque Condo Luis Alvaro"
"TC-074","US-32","Validar que la tabla de auditoría sea inalterable (RF12 / RNF03)","Existe al menos un registro de auditoría","ID de un registro existente","1. Intentar ejecutar UPDATE o DELETE directamente sobre registros_auditoria","La operación es rechazada a nivel de servicio/base de datos (tabla solo permite INSERT)","Alta","No funcional","Colque Condo Luis Alvaro"
"TC-075","US-32","Validar que el registro incluya fecha, hora y usuario responsable (RF12)","Módulo de auditoría operativo","Cualquier operación auditable","1. Ejecutar una operación auditable
2. Consultar el registro generado","El registro contiene fechaHora, responsableId y accion con valores no nulos","Alta","Funcional","Colque Condo Luis Alvaro"
"TC-076","US-32","Validar que se pueda filtrar el log por entidad e idEntidad","Existen múltiples registros de auditoría de distintas entidades","entidad: Persona","1. Consultar registros_auditoria filtrando por entidad ""Persona""","Se retornan únicamente los registros correspondientes a esa entidad","Media","Funcional","Colque Condo Luis Alvaro"
"TC-077","US-38","Registrarse con datos válidos","Usuario sin sesión en la pantalla de login","Nombre, apellido, email y contraseña válidos (p. ej. Ana / Pérez / ana@test.com / Nuevo123!)","1. En /login hacer clic en ""Registrate"" 
2. Completar nombre, apellido, email y contraseña válida 
3. Hacer clic en ""Crear cuenta""","La cuenta se crea, se muestra un mensaje de éxito y redirige a /login (no inicia sesión automáticamente)","Alta","Funcional","Gazzola Lucas"
"TC-078","US-38","Iniciar sesión con la cuenta recién registrada","Existe una cuenta creada mediante el registro público","Email y contraseña usados en el registro","1. En /login ingresar las credenciales registradas 
2. Iniciar sesión","El usuario accede correctamente al sistema (el registro complementa el login US-39)","Alta","Integración","Gazzola Lucas"
"TC-079","US-38","El usuario auto-registrado no recibe roles","Cuenta creada mediante el registro público","Cuenta sin roles asignados","1. Iniciar sesión con la cuenta registrada 
2. Observar el menú lateral","El usuario solo ve ""Inicio""; no puede acceder a Socios ni Usuarios por no tener roles","Alta","Funcional","Gazzola Lucas"
"TC-080","US-38","Rechazar registro con email ya existente","Existe un usuario registrado con el email a utilizar","Email repetido","1. Completar el formulario de registro con un email ya registrado 
2. Hacer clic en ""Crear cuenta""","El sistema no crea la cuenta e informa que ya existe un usuario con ese email (HTTP 409)","Alta","Funcional","Gazzola Lucas"
"TC-081","US-38","Validar contraseña débil","Usuario sin sesión en la pantalla de registro","Contraseña que no cumple la política (p. ej. ""hola"")","1. Completar el formulario con una contraseña menor a 8 caracteres o sin mayúscula/minúscula/número/carácter especial 
2. Hacer clic en ""Crear cuenta""","El formulario rechaza el envío y exige mínimo 8 caracteres con mayúscula, minúscula, número y carácter especial","Media","Unitario","Gazzola Lucas"
"TC-082","US-38","Validar email con formato inválido","Usuario sin sesión en la pantalla de registro","Email con formato inválido (p. ej. ""ana@"")","1. Completar el formulario con un email inválido 
2. Hacer clic en ""Crear cuenta""","El formulario muestra ""Ingresá un email válido"" y no envía la solicitud","Media","Unitario","Gazzola Lucas"
"TC-083","US-38","Validar campos obligatorios (nombre y apellido)","Usuario sin sesión en la pantalla de registro","Nombre y/o apellido vacíos","1. Dejar el nombre o el apellido vacío 
2. Hacer clic en ""Crear cuenta""","El formulario indica que el nombre y el apellido son obligatorios y no envía","Baja","Unitario","Gazzola Lucas"
"TC-084","US-38","Impedir auto-asignación de rol (escalada de privilegios)","Registro público disponible","Petición a POST /auth/register incluyendo el campo roles: [""ADMIN""]","1. Enviar una solicitud de registro que incluya el campo ""roles""","El backend rechaza la solicitud (HTTP 400) por campo no permitido; no se crea un usuario con rol","Alta","Funcional","Gazzola Lucas"
"TC-085","US-39","Iniciar sesión con credenciales válidas","Existe un usuario activo registrado","Email y contraseña correctos","1. Ir a /login 
2. Ingresar email y contraseña correctos 
3. Hacer clic en ""Ingresar""","El usuario accede al panel y queda con la sesión iniciada (cookie de sesión seteada)","Alta","Funcional","Gazzola Lucas"
"TC-086","US-39","Rechazar inicio de sesión con credenciales inválidas","Existe un usuario activo registrado","Email correcto y contraseña incorrecta","1. Ingresar el email correcto y una contraseña incorrecta
2. Hacer clic en ""Ingresar""","No inicia sesión y muestra ""Credenciales inválidas"" (HTTP 401)","Alta","Funcional","Gazzola Lucas"
"TC-087","US-39","No revelar si el email está registrado","Usuario sin sesión en la pantalla de login","Email no registrado","1. Intentar iniciar sesión con un email inexistente","Devuelve el mismo error genérico ""Credenciales inválidas""; no informa si el email existe","Media","Funcional","Gazzola Lucas"
"TC-088","US-40","Cerrar sesión correctamente","Usuario con sesión iniciada","Sesión activa","1. Hacer clic en ""Cerrar sesión""","Cierra la sesión, elimina la cookie de sesión y redirige a /login","Alta","Funcional","Gazzola Lucas"
"TC-089","US-40","Bloquear el acceso a secciones protegidas tras cerrar sesión","El usuario cerró sesión","Sin sesión activa","1. Tras cerrar sesión, intentar acceder a una sección protegida (o volver atrás en el navegador)","El sistema redirige a /login y no permite el acceso (HTTP 401 en la API)","Alta","Funcional","Gazzola Lucas"
"TC-090","US-40","Limpiar los datos de sesión en el cliente al cerrar sesión","Usuario con sesión iniciada y datos ya cargados (socios/usuarios)","Sesión activa con datos en caché","1. Cerrar sesión 
2. Iniciar sesión con otra cuenta","No se muestran datos cacheados de la sesión anterior (se limpia el caché de la aplicación)","Media","Funcional","Gazzola Lucas"
